,fecha_evento,tiempo cmt,lat cmt,lon cmt,depth cmt,id evento,exp cmt,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,Err,Ett,Epp,Ert,Erp,Etp,momento sismico,strike 1,dip 1,rake 1,strike 2,dip 2,rake 2
28,2018/01/09,11:50:08.0,-49.00,121.00,10.0,C201801091150A,23,-2.520,2.610,-0.094,0.942,1.030,-1.360,0.286,0.179,0.183,0.227,0.289,0.094,3.222,137,46,-51,268,56,-123.0
29,2018/01/09,22:20:51.8,35.42,141.20,34.5,C201801092220A,23,1.710,-2.770,1.070,0.316,1.180,-0.415,0.324,0.190,0.176,0.159,0.202,0.097,2.736,296,51,141,53,61,47.0
30,2018/01/09,22:30:19.1,35.34,141.20,18.9,C201801092230A,23,-2.220,-0.180,2.400,2.900,2.950,-2.470,0.159,0.110,0.107,0.215,0.197,0.075,5.102,299,45,-152,189,71,-48.0
31,2018/01/10,01:03:50.5,-30.52,-177.89,66.8,C201801100103A,23,-0.798,-3.560,4.360,1.270,6.000,2.710,0.211,0.200,0.200,0.142,0.110,0.21,7.000,71,32,-10,170,84,-122.0
32,2018/01/10,02:51:33.3,17.48,-83.52,19.0,C201801100251A,27,-0.242,-0.967,1.210,0.117,0.199,2.090,0.006,0.005,0.006,0.068,0.064,0.005,2.366,76,87,3,346,87,177.0
33,2018/01/10,11:20:11.9,-34.96,-111.20,10.0,C201801101120A,24,-1.300,0.041,1.260,-0.160,0.055,-0.678,0.192,0.112,0.115,0.175,0.125,0.044,1.443,343,43,-80,149,48,-99.0
34,2018/01/11,00:43:40.0,23.72,126.74,10.0,C201801110043A,23,-2.670,1.730,0.947,-0.606,1.010,2.400,0.174,0.111,0.112,0.274,0.298,0.072,3.533,75,50,-52,205,53,-126.0
35,2018/01/11,03:18:30.2,30.73,57.34,10.0,C201801110318A,23,3.320,-2.650,-0.667,-0.214,0.830,-0.580,0.124,0.089,0.075,0.207,0.231,0.064,3.155,267,46,107,63,46,73.0
36,2018/01/11,04:09:23.4,19.71,145.48,126.6,C201801110409A,23,-2.240,4.420,-2.180,-1.310,-2.550,0.968,0.120,0.133,0.148,0.100,0.095,0.135,4.876,298,47,-27,47,71,-134.0
37,2018/01/11,06:59:30.5,33.71,45.72,10.0,C201801110659B,24,2.390,-0.257,-2.140,0.295,0.471,1.200,0.029,0.031,0.027,0.090,0.078,0.025,2.625,142,43,72,346,50,106.0
38,2018/01/11,07:14:16.0,33.80,45.73,10.0,C201801110714A,24,1.390,-0.255,-1.140,0.551,-0.333,0.832,0.051,0.030,0.035,0.088,0.076,0.021,1.652,342,36,111,137,57,75.0
39,2018/01/11,07:21:43.6,33.22,46.42,10.0,C201801110721A,24,1.090,-0.214,-0.880,0.278,-0.042,0.498,0.054,0.029,0.034,0.068,0.060,0.016,1.154,343,42,107,141,50,75.0
40,2018/01/11,07:55:00.4,33.71,45.79,10.0,C201801110755A,23,3.590,-0.353,-3.240,2.080,1.220,1.190,0.145,0.157,0.113,0.574,0.381,0.111,4.251,137,47,52,6,55,123.0
41,2018/01/11,08:00:39.9,33.72,45.70,10.0,C201801110800A,24,0.920,0.022,-0.942,0.192,-0.064,0.521,0.026,0.020,0.019,0.053,0.041,0.014,1.069,348,43,108,145,50,74.0
42,2018/01/11,09:46:07.4,59.14,-31.00,10.0,C201801110946A,24,-1.320,-0.132,1.460,-0.008,-0.020,0.484,0.020,0.023,0.018,0.053,0.048,0.016,1.458,196,45,-90,16,45,-90.0
43,2018/01/11,09:50:12.2,59.09,-30.93,10.0,C201801110950A,23,-4.250,-0.018,4.270,-0.015,-0.419,1.210,0.158,0.194,0.119,0.578,0.485,0.121,4.439,196,42,-88,13,48,-92.0
44,2018/01/11,13:14:23.6,-20.89,172.31,18.9,C201801111314A,23,-0.897,0.080,0.818,0.610,-0.005,2.960,0.162,0.138,0.133,0.243,0.216,0.093,3.063,357,76,-173,265,83,-14.0
45,2018/01/11,13:35:33.5,30.70,57.26,10.0,C201801111335A,23,2.600,-1.840,-0.760,0.611,2.460,2.050,0.114,0.098,0.097,0.370,0.396,0.082,3.957,100,44,40,339,64,126.0
46,2018/01/11,17:03:18.5,10.66,-84.92,10.0,C201801111703A,23,-0.227,-1.610,1.840,-0.401,-0.190,-0.127,0.110,0.087,0.104,0.194,0.209,0.087,1.793,134,76,-173,42,83,-14.0
47,2018/01/11,17:53:34.1,-23.95,179.96,519.6,B201801111753A,24,1.080,-0.251,-0.826,-0.446,-1.690,-0.760,0.031,0.053,0.053,0.058,0.050,0.049,2.138,55,21,126,198,73,78.0
